Player,Tm,salary_22_23,salary_23_24,Guaranteed,-9999
Donte DiVincenzo,GSW,"$4,500,000","$4,725,000","$4,500,000",divindo01
Jeff Green,DEN,"$4,500,000",,"$4,500,000",greenje02
Devin Vassell,SAS,"$4,437,000","$5,887,899","$10,324,899",vassede01
Matisse Thybulle,POR,"$4,379,527",,"$4,379,527",thybuma01
Jarred Vanderbilt,LAL,"$4,374,000","$4,698,000","$4,674,000",vandeja01
James Bouknight,CHO,"$4,362,240","$4,570,080","$8,932,320",bouknja01
Brandon Clarke,MEM,"$4,343,920","$12,500,000","$54,343,920",clarkbr01
Jalen Williams,OKC,"$4,341,480","$4,558,680","$8,900,160",willija06
Grant Williams,BOS,"$4,306,281",,"$4,306,281",willigr01
Darius Bazley,PHO,"$4,264,629",,"$4,264,629",bazleda01
Ty Jerome,HOU,"$4,220,057",,"$4,220,057",jeromty01
Tyrese Haliburton,IND,"$4,215,120","$5,808,435","$10,023,555",halibty01
Nassir Little,POR,"$4,171,548","$6,250,000","$32,171,548",littlna01
Joshua Primo,SAS,"$4,144,320","$4,341,600","$8,485,920",primojo01
Jalen Duren,DET,"$4,124,280","$4,330,680","$8,454,960",durenja01
Danuel House Jr.,PHI,"$4,105,000","$4,310,250","$8,415,250",houseda01
Justise Winslow,POR,"$4,097,561",,"$4,097,561",winslju01
Dylan Windler,CLE,"$4,037,278",,"$4,037,278",windldy01
Kira Lewis Jr.,NOP,"$4,004,280","$5,722,116","$9,726,396",lewiski01
Terence Davis,SAC,"$4,000,000",,"$4,000,000",daviste02
George Hill,IND,"$4,000,000",,"$4,000,000",hillge01
Chris Duarte,IND,"$3,936,960","$4,124,400","$8,061,360",duartch01
Jevon Carter,BRK,"$6,025,000","$2,239,943","$3,925,000",carteje01
Alex Len,SAC,"$3,918,600",,"$3,918,600",lenal01
Ochai Agbaji,UTA,"$3,918,360","$4,114,200","$8,032,560",agbajoc01
Jordan Poole,GSW,"$3,901,399","$28,705,357","$131,901,399",poolejo01
Keldon Johnson,SAS,"$3,873,025","$20,000,000","$77,873,025",johnske04
Aaron Nesmith,IND,"$3,804,360","$5,634,257","$9,438,617",nesmiaa01
Moses Moody,GSW,"$3,740,160","$3,918,480","$7,658,640",moodymo01
Mark Williams,CHO,"$3,722,040","$3,908,160","$7,630,200",willima07
Cole Anthony,ORL,"$3,613,680","$5,539,771","$9,153,451",anthoco01
Corey Kispert,WAS,"$3,552,840","$3,722,040","$7,274,880",kispeco01
AJ Griffin,ATL,"$3,536,160","$3,712,920","$7,249,080",griffaj01
Boban Marjanović,HOU,"$4,101,478",,"$4,101,478",marjabo01
Mike Muscala,BOS,"$3,500,000","$3,500,000","$3,500,000",muscami01
Georges Niang,PHI,"$3,465,000",,"$3,465,000",niangge01
Chuma Okeke,ORL,"$3,433,320","$5,266,713","$8,700,033",okekech01
Isaiah Stewart,DET,"$3,433,320","$5,266,713","$8,700,033",stewais01
Amir Coffey,LAC,"$3,395,062","$3,666,667","$11,000,000",coffeam01
Alperen Şengün,HOU,"$3,375,360","$3,536,280","$6,911,640",sengual01
Tari Eason,HOU,"$3,359,160","$3,527,160","$6,886,320",easonta01
Aleksej Pokusevski,OKC,"$3,261,480","$5,009,633","$8,271,113",pokusal01
Kevin Porter Jr.,HOU,"$3,217,631","$18,239,000","$21,456,631",porteke02
Trey Murphy III,NOP,"$3,206,520","$3,359,280","$6,565,800",murphtr02
Simone Fontecchio,UTA,"$3,205,128","$3,044,872","$6,250,000",fontesi01
Andre Drummond,CHI,"$3,200,000","$3,360,000","$6,560,000",drumman01
Derrick Jones Jr.,CHI,"$3,200,000","$3,360,000","$3,200,000",jonesde02
Dalen Terry,CHI,"$3,191,400","$3,350,760","$6,542,160",terryda01
Kevin Love,MIA,"$32,056,968",,"$3,114,138",loveke01
Josh Green,DAL,"$3,098,400","$4,765,339","$7,863,739",greenjo02
Jake LaRavia,MEM,"$3,047,640","$3,199,920","$6,247,560",laravja01
Tre Mann,OKC,"$3,046,200","$3,191,400","$6,237,600",manntr01
Kevin Knox,POR,"$3,000,000","$3,000,000","$3,000,000",knoxke01
Sterling Brown,OKC,"$3,000,000",,"$3,000,000",brownst02
Saddiq Bey,ATL,"$2,959,080","$4,556,983","$7,516,063",beysa01
Malaki Branham,SAS,"$2,925,600","$3,071,880","$5,997,480",branhma01
Kai Jones,CHO,"$2,909,040","$3,047,880","$5,956,920",joneska01
Dewayne Dedmon,DET,"$8,147,040","$7,190,667","$8,600,001",dedmode01
Andrew Nicholson,POR,"$2,844,430","$2,844,430","$5,688,860",nichoan01
Precious Achiuwa,TOR,"$2,840,160","$4,379,527","$7,219,687",achiupr01
Christian Braun,DEN,"$2,808,600","$2,949,120","$5,757,720",braunch01
Jordan Nwora,IND,"$2,800,000","$3,000,000","$5,800,000",nworajo01
Jalen Johnson,ATL,"$2,792,640","$2,925,360","$5,718,000",johnsja05
Tyrese Maxey,PHI,"$2,726,880","$4,343,920","$7,070,800",maxeyty01
Bruno Fernando,ATL,"$2,717,391","$2,581,522","$2,717,391",fernabr01
Walker Kessler,UTA,"$2,696,400","$2,831,160","$5,527,560",kesslwa01
Keon Johnson,POR,"$2,681,040","$2,808,720","$5,489,760",johnske07
Trey Lyles,SAC,"$2,625,000",,"$2,625,000",lylestr01
Zeke Nnaji,DEN,"$2,617,800","$4,306,281","$6,924,081",nnajize01
Charles Bassey,SAS,"$2,674,742","$2,600,000","$5,200,000",bassech01
David Roddy,MEM,"$2,588,640","$2,718,240","$5,306,880",roddyda01
Isaiah Jackson,IND,"$2,573,760","$2,696,280","$5,270,040",jacksis01
