player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Bol Bol,bolbo01,2023,3165,1505,-3.056671009583539,-1.621386664888951,-4.67805767447249,-3.613094935481175,-.1940755020967537,-3.807170437577929,-3.325060930779413,-1.419594988165227,-4.744655918944639,-1.532550162290782,-1.532550162290782,0,-4.369026142465877,-2.352767577613089,-6.721793720078965,.0627127425085676
Leandro Bolmaro,bolmale01,2023,147,68,-11.5587253001135,7.502774478339999,-4.055950821773504,-6.465839666692846,10.28637809912536,3.820538432432517,-11.21945000480553,8.585111636598114,-2.634338368207413,.0040803587660106,.0040803587660106,0,-8.784114684473614,4.384454811262845,-4.399659873210769,1.701392018137547
Devin Booker,bookede01,2023,4744,2294,5.610692311828769,.0112817932296587,5.621974105058428,6.070782351694858,-1.918423780438847,4.152358571256012,6.036689162265763,-.3979531882650238,5.638735974000738,9.985045446929318,6.777767921367317,3.207277525562,5.594574113244172,.399129042090705,5.993703155334876,.6505826715726722
Brandon Boston Jr.,bostobr01,2023,531,249,.9358177253078018,-1.048756455970615,-.1129387306628131,-3.104560575404335,-3.214114257897089,-6.318674833301424,.1876472877573402,-1.536208556259547,-1.348561268502207,.1755137674444675,.2125747103629451,-.0370609429184775,-1.105356604911583,-1.575814173277036,-2.68117077818862,-.0968015277780525
Chris Boucher,bouchch01,2023,3125,1523,.4692353287053871,.1220689349216803,.5913042636270673,-3.070263654895283,.2536116319420939,-2.816652022953189,-.2575132313372664,.1471450440667025,-.110368187270564,2.042808739090063,2.042808739090063,0,.3600279965786206,.233201311514232,.5932293080928526,-.4072870667729482
James Bouknight,bouknja01,2023,1097,515,-3.538990151182919,-2.396968425430556,-5.935958576613475,-4.095806081774026,1.483534245698763,-2.612271836075263,-3.786411239987495,-1.707257447106689,-5.493668687094184,-.7211955208862785,-.7211955208862785,0,-3.636445804681536,-2.196750879221425,-5.83319668390296,.0403706860647789
Jamaree Bouyea,bouyeja01,2023,138,71,-7.91035665667544,1.223061115912842,-6.687295540762598,-2.879779613851625,-5.48232171492924,-8.362101328780865,-7.336801037863818,-.1035177481755659,-7.440318786039383,-.1656641067854193,-.1656641067854193,0,-6.936532499896219,.5445024430697127,-6.392030056826506,-2.341975053227269
Tony Bradley,bradlto01,2023,80,33,-.7401379165217367,-7.298199728926792,-8.038337645448529,-2.149131976760723,6.45662319534907,4.307491218588347,-1.034952209235096,-4.89381424984904,-5.928766459084136,-.0540281390578103,-.0540281390578103,0,-1.334118147735364,-4.356915075697619,-5.691033223432983,.9590291590367819
Malaki Branham,branhma01,2023,3370,1550,-3.001671000754815,-4.313201460942026,-7.314872461696842,-1.024101749512393,-1.205618608703255,-2.229720358215647,-2.704741167123283,-3.873849531426087,-6.578590698549371,-3.045786168984516,-3.045786168984516,0,-2.757132568056035,-3.887974210831401,-6.645106778887437,.6033442113244832
Jarrell Brantley,brantja01,2023,80,39,5.781822651039295,2.220826641096338,8.002649292135633,.3760522314247206,9.77583926687622,10.15189149830094,5.041748383565161,4.008395473798307,9.050143857363469,.2328460145386941,.2328460145386941,0,2.446171970325312,-1.06867722448603,1.377494745839282,-.8386427664451354
Christian Braun,braunch01,2023,2904,1404,-1.559022481763075,.7188341991254551,-.8401882826376199,-5.969664408068761,1.455295297926095,-4.514369110142666,-2.592112641278376,.8988791474973513,-1.693233493781025,.7780004166304781,.337174521581211,.4408258950492672,-2.290462206408152,.4211647598595261,-1.869297446548625,-.7461874875117366
Mikal Bridges,bridgmi01,2023,6380,3120,1.656789216896915,.464423724110947,2.121212941007863,-.4705193927285261,-1.049521967987198,-1.520041360715724,1.311395214003568,.1594737143071441,1.470868928310711,6.712616807060282,6.762055910139184,-.049439103078902,1.62215043454765,.8165969693236101,2.43874740387126,.2099665616474084
Oshae Brissett,brissos01,2023,2306,1083,-1.849457859935873,-1.363329822287755,-3.212787682223628,-.267055985237997,.8478421975884565,.5807862123504595,-1.625700602130201,-.9458257658077917,-2.571526367937993,.0982915955105298,.0982915955105298,0,-.9454219892979226,-1.758798324128598,-2.70422031342652,-.331007797264287
Malcolm Brogdon,brogdma01,2023,4593,2218,2.599073271525866,-1.226322666718543,1.372750604807323,-.6210168260679039,1.503586329694403,.882569503626499,2.024802751615651,-.7744722073501963,1.250330544265455,4.507439378089392,4.049090377064205,.458349001025187,1.821684570053094,-.7796092214392418,1.042075348613852,-.3927843223288892
Dillon Brooks,brookdi01,2023,5051,2381,-2.003574745320284,1.234554729972948,-.7690200153473358,-2.410971353954796,3.202624708634815,.7916533546800193,-2.218078841099195,1.671157963271376,-.5469208778278183,2.663228870526806,3.00947849762071,-.3462496270939037,-2.24142066933899,2.141170018800645,-.1002506505383455,.0504915336201908
