Player,Tm,salary_22_23,Guaranteed,-9999
Dewayne Dedmon,DET,"$8,147,040","$8,600,001",dedmode01
Andrew Nicholson,POR,"$2,844,430","$5,688,860",nichoan01
Precious Achiuwa,TOR,"$2,840,160","$7,219,687",achiupr01
Christian Braun,DEN,"$2,808,600","$5,757,720",braunch01
Jordan Nwora,IND,"$2,800,000","$5,800,000",nworajo01
Jalen Johnson,ATL,"$2,792,640","$5,718,000",johnsja05
Tyrese Maxey,PHI,"$2,726,880","$7,070,800",maxeyty01
Bruno Fernando,ATL,"$2,717,391","$2,717,391",fernabr01
Walker Kessler,UTA,"$2,696,400","$5,527,560",kesslwa01
Keon Johnson,POR,"$2,681,040","$5,489,760",johnske07
Trey Lyles,SAC,"$2,625,000","$2,625,000",lylestr01
Zeke Nnaji,DEN,"$2,617,800","$6,924,081",nnajize01
Charles Bassey,SAS,"$2,674,742","$5,200,000",bassech01
David Roddy,MEM,"$2,588,640","$5,306,880",roddyda01
Isaiah Jackson,IND,"$2,573,760","$5,270,040",jacksis01
MarJon Beauchamp,MIL,"$2,485,200","$5,094,600",beaucma01
Usman Garuba,HOU,"$2,471,160","$5,059,560",garubus01
Leandro Bolmaro,UTA,"$2,471,160","$2,471,160",bolmale01
Willie Cauley-Stein,HOU,,"$2,569,012",caulewi01
Montrezl Harrell,PHI,"$2,463,490","$2,463,490",harremo01
Willy Hernangómez,NOP,"$2,443,581","$2,443,581",hernawi01
R.J. Hampton,ORL,"$2,898,243","$2,412,840",hamptrj01
Blake Wesley,SAS,"$2,385,480","$4,890,120",weslebl01
Josh Christopher,HOU,"$2,372,160","$4,857,360",chrisjo01
Stanley Johnson,UTA,"$3,596,685","$2,351,521",johnsst04
Immanuel Quickley,NYK,"$2,316,240","$6,487,788",quickim01
Wendell Moore Jr.,MIN,"$2,306,520","$4,728,240",moorewe01
John Konchar,MEM,"$2,300,000","$23,195,000",konchjo01
Damian Jones,UTA,"$2,298,385","$2,298,385",jonesda03
Quentin Grimes,NYK,"$2,277,000","$4,662,720",grimequ01
Andrew Nembhard,IND,"$2,244,111","$6,395,715",nembhan01
Nikola Jović,MIA,"$2,239,920","$4,591,920",jovicni01
Payton Pritchard,BOS,"$2,239,200","$6,276,477",pritcpa01
Vlatko Čančar,DEN,"$2,234,359","$4,468,718",cancavl01
Patrick Baldwin Jr.,GSW,"$2,226,000","$4,563,720",baldwpa01
TyTy Washington Jr.,HOU,"$2,210,040","$4,530,480",washity02
Bones Hyland,LAC,"$2,201,520","$4,507,920",hylanbo01
Bol Bol,ORL,"$2,200,000","$2,200,000",bolbo01
Peyton Watson,DEN,"$2,193,960","$4,497,480",watsope01
Marquese Chriss,OKC,"$2,193,920","$2,193,920",chrisma01
Joe Wieskamp,SAS,"$2,720,989","$2,175,000",wieskjo01
Udoka Azubuike,UTA,"$2,174,880","$2,174,880",azubuud01
Jaden McDaniels,MIN,"$2,161,440","$6,062,839",mcdanja02
Jordan McLaughlin,MIN,"$2,160,000","$2,160,000",mclaujo01
Malachi Flynn,TOR,"$2,145,720","$6,018,745",flynnma01
Cam Thomas,BRK,"$2,138,160","$2,138,160",thomaca02
PJ Dozier,MIN,"$539,450","$2,133,278",doziepj01
Luke Kornet,BOS,"$2,133,278","$2,133,278",kornelu01
Desmond Bane,MEM,"$2,130,240","$5,975,323",banede01
Jaden Springer,PHI,"$2,125,200","$4,351,440",sprinja01
Day'Ron Sharpe,BRK,"$2,109,480","$2,109,480",sharpda01
Jevon Carter,MIL,"$6,025,000","$2,100,000",carteje01
Santi Aldama,MEM,"$2,094,120","$4,288,320",aldamsa01
Frank Ntilikina,DAL,"$2,036,318","$2,036,318",ntilila01
Tony Bradley,CHI,"$2,036,318","$2,036,318",bradlto01
Kenrich Williams,OKC,"$2,000,000","$22,007,000",willike04
Caleb Houstan,ORL,"$2,000,000","$4,000,000",houstca01
Jaylin Williams,OKC,"$2,000,000","$4,000,000",willija07
Jeremiah Robinson-Earl,OKC,"$2,000,000","$2,000,000",robinje02
Danny Green,CLE,"$11,710,528","$2,000,000",greenda02
Garrison Mathews,ATL,"$2,000,000","$2,000,000",mathega01
Shake Milton,PHI,"$1,997,718","$1,997,718",miltosh01
Edmond Sumner,BRK,"$1,968,175","$1,968,175",sumneed01
Daniel Gafford,WAS,"$1,930,681","$42,113,161",gaffoda01
