player_name,player_id,poss,mp,raptor_total
Patrick Baldwin Jr.,baldwpa01,507,237,-5.360277443
Doug McDermott,mcderdo01,2858,1314,-5.369844798
JT Thor,thorjt01,2068,969,-5.404479804
Robin Lopez,lopezro01,633,305,-5.488451007
James Bouknight,bouknja01,1097,515,-5.493668687
Terry Taylor,taylote01,580,264,-5.539310252
Davon Reed,reedda01,729,342,-5.554640701
MarJon Beauchamp,beaucma01,1516,706,-5.587363548
RaiQuan Gray,grayra01,73,35,-5.595353123
Trent Forrest,forretr01,586,277,-5.626248234
Xavier Sneed,sneedxa01,105,48,-5.643469697
Sandro Mamukelashvili,mamuksa01,1407,660,-5.663135668
Wendell Moore Jr.,moorewe01,351,155,-5.723511402
Ish Smith,smithis01,864,410,-5.745202164
Cody Zeller,zelleco01,799,390,-5.803082733
JaVale McGee,mcgeeja01,756,355,-5.841154453
Markieff Morris,morrima02,789,355,-5.882675751
Tony Bradley,bradlto01,80,33,-5.928766459
Kennedy Chandler,chandke01,605,281,-5.933035615
Vernon Carey Jr.,careyve01,61,28,-5.980097854
Will Barton,bartowi01,2072,993,-6.034090904
Trevor Hudgins,hudgitr01,57,28,-6.065222809
Khem Birch,birchkh01,331,162,-6.131568845
Josh Christopher,chrisjo01,1642,786,-6.196085091
Johnny Davis,davisjo06,905,423,-6.3184077
Jacob Gilyard,gilyaja01,87,41,-6.455648085
Greg Brown III,browngr01,203,93,-6.459943743
Justin Holiday,holidju01,1536,706,-6.481050422
Omer Yurtseven,yurtsom01,212,99,-6.502247971
TyTy Washington Jr.,washity02,910,433,-6.556769059
Malaki Branham,branhma01,3370,1550,-6.578590699
Kenneth Lofton Jr.,loftoke01,393,188,-6.663621426
Trevelin Queen,queentr01,152,70,-6.684254966
Olivier Sarr,sarrol01,240,114,-6.746228653
Noah Vonleh,vonleno01,359,171,-6.789751318
Jeenathan Williams,willije02,283,127,-6.843785983
A.J. Lawson,lawsoaj01,239,108,-6.867445698
Amir Coffey,coffeam01,1320,626,-6.966050422
Keon Johnson,johnske07,890,416,-7.006088279
Day'Ron Sharpe,sharpda01,1216,572,-7.045960721
Jabari Walker,walkeja01,1329,619,-7.10691876
DeAndre Jordan,jordade01,1243,596,-7.112916106
John Butler Jr.,butlejo01,483,221,-7.127828839
Peyton Watson,watsope01,412,200,-7.139683767
Nerlens Noel,noelne01,428,195,-7.266552081
Daishen Nix,nixda01,1924,914,-7.304096962
Jamaree Bouyea,bouyeja01,138,71,-7.440318786
Justin Jackson,jacksju01,226,107,-8.003886991
